,Success
0,1
1,2
2,1
3,1
4,2
5,1
6,1
7,1
8,2
9,1
10,1
11,1
12,1
13,1
14,2
15,1
16,1
17,2
18,2
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,2
29,1
30,2
31,1
32,1
33,1
34,1
35,1
36,2
37,1
38,1
39,1
40,2
41,2
42,1
43,2
44,1
45,2
46,2
47,2
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,2
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,2
66,1
67,1
68,1
69,2
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,2
79,1
80,1
81,1
82,1
83,1
84,2
85,1
86,1
87,1
88,1
89,1
90,1
91,2
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,2
106,1
107,2
108,2
109,1
110,1
111,1
112,1
113,2
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,2
125,1
126,1
127,2
128,2
129,2
130,1
131,1
132,1
133,2
134,1
135,1
136,1
137,1
138,2
139,2
140,1
141,1
142,2
143,1
144,1
145,1
146,2
147,1
148,1
149,1
150,2
151,1
152,2
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,2
164,2
165,1
166,1
167,1
168,1
169,1
170,2
171,1
172,1
173,1
174,2
175,2
176,1
177,2
178,1
179,2
180,1
181,1
182,1
183,1
184,2
185,1
186,2
187,2
188,1
189,2
190,2
191,2
192,1
193,1
194,1
195,1
196,1
197,1
198,2
199,1
200,1
201,1
202,1
203,1
204,2
205,2
206,1
207,1
208,2
209,1
210,1
211,1
212,2
213,1
214,2
215,1
216,1
217,1
218,1
219,2
220,2
221,2
222,1
223,1
224,1
225,2
226,1
227,1
228,1
229,1
230,1
231,1
232,2
233,2
234,1
235,1
236,1
237,1
238,2
239,1
240,1
241,2
242,1
243,1
244,1
245,2
246,2
247,2
248,2
249,1
250,1
251,1
252,1
253,1
254,1
255,2
256,2
257,1
258,2
259,1
260,2
261,2
262,2
263,1
264,2
265,1
266,2
267,1
268,1
269,1
270,2
271,2
272,1
273,2
274,1
275,2
276,1
277,1
278,1
279,2
280,1
281,1
282,2
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,2
291,1
292,1
293,1
294,1
295,2
296,1
297,1
298,1
299,1
300,2
301,1
302,1
303,2
304,1
305,1
306,1
307,1
308,1
309,1
310,2
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,2
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,2
341,1
342,2
343,1
344,1
345,1
346,1
347,1
348,1
349,2
350,1
351,2
352,1
353,1
354,2
355,1
356,1
357,1
358,2
359,1
360,1
361,2
362,2
363,1
364,2
365,1
366,2
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,2
382,1
383,1
384,2
385,1
386,1
387,1
388,2
389,2
390,2
391,1
392,1
393,1
394,2
395,1
396,2
397,1
398,1
399,1
400,1
401,2
402,1
403,2
404,1
405,1
406,2
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,1
417,2
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,2
426,2
427,1
428,1
429,2
430,1
431,1
432,1
433,1
434,2
435,1
436,2
437,2
438,1
439,1
440,1
441,1
442,2
443,1
444,1
445,1
446,1
447,1
448,2
449,1
450,1
451,1
452,1
453,2
454,1
455,2
456,1
457,2
458,2
459,1
460,2
461,2
462,1
463,2
464,1
465,1
466,2
467,1
468,2
469,2
470,1
471,1
472,1
473,2
474,1
475,2
476,2
477,1
478,2
479,1
480,1
481,2
482,1
483,1
484,1
485,2
486,1
487,2
488,1
489,2
490,2
491,1
492,1
493,1
494,1
495,2
496,1
497,2
498,1
499,1
500,1
501,1
502,2
503,1
504,2
505,1
506,1
507,2
508,1
509,1
510,1
511,2
512,2
513,1
514,1
515,1
516,2
517,1
518,2
519,1
520,1
521,1
522,2
523,1
524,1
525,2
526,1
527,1
528,2
529,2
530,1
531,1
532,1
533,1
534,2
535,1
536,1
537,1
538,1
539,2
540,2
541,1
542,2
543,2
544,1
545,1
546,1
547,1
548,1
549,1
550,2
551,1
552,1
553,2
554,1
555,1
556,1
557,2
558,1
559,2
560,1
561,1
562,1
563,1
564,2
565,1
566,1
567,1
568,1
569,2
570,1
571,1
572,2
573,1
574,1
575,2
576,1
577,1
578,1
579,1
580,1
581,1
582,2
583,1
584,1
585,1
586,1
587,1
588,1
589,1
590,2
591,1
592,1
593,2
594,2
595,1
596,1
597,2
598,2
599,1
600,2
601,1
602,2
603,1
604,1
605,1
606,1
607,2
608,1
609,2
610,1
611,1
612,1
613,1
614,2
615,1
616,1
617,1
618,1
619,1
620,1
621,1
622,1
623,2
624,1
625,1
626,1
627,1
628,1
629,1
630,1
631,1
632,2
633,1
634,1
635,2
636,1
637,1
638,2
639,2
640,1
641,1
642,2
643,1
644,2
645,1
646,1
647,1
648,1
649,1
650,1
651,1
652,1
653,1
654,1
655,1
656,1
657,1
658,2
659,1
660,2
661,1
662,1
663,1
664,1
665,1
666,2
667,1
668,2
669,1
670,2
671,1
672,1
673,2
674,1
675,1
676,1
677,2
678,1
679,1
680,2
681,2
682,2
683,2
684,1
685,2
686,1
687,2
688,2
689,1
690,2
691,1
692,1
693,2
694,1
695,1
696,1
697,1
698,1
699,1
700,2
701,1
702,2
703,2
704,1
705,1
706,2
707,1
708,1
709,1
710,1
711,1
712,1
713,2
714,1
715,1
716,1
717,1
718,1
719,2
720,1
721,1
722,1
723,1
724,2
725,1
726,2
727,1
728,1
729,1
730,2
731,1
732,2
733,2
734,1
735,1
736,1
737,1
738,1
739,1
740,1
741,2
742,1
743,1
744,1
745,1
746,2
747,2
748,1
749,2
750,1
751,1
752,1
753,2
754,2
755,1
756,2
757,2
758,1
759,2
760,1
761,2
762,1
763,1
764,1
765,1
766,2
767,1
768,2
769,1
770,1
771,1
772,1
773,1
774,1
775,1
776,1
777,1
778,2
779,1
780,1
781,2
782,1
783,2
784,2
785,1
786,1
787,2
788,1
789,2
790,2
791,1
792,1
793,1
794,2
795,1
796,2
797,1
798,1
799,1
800,1
801,1
802,2
803,2
804,1
805,1
806,2
807,1
808,2
809,1
810,2
811,1
812,2
813,2
814,2
815,1
816,2
817,2
818,2
819,1
820,1
821,2
822,1
823,1
824,1
825,1
826,1
827,1
828,2
829,2
830,2
831,1
832,1
833,1
834,1
835,1
836,2
837,1
838,1
839,2
840,1
841,1
842,2
843,2
844,2
845,1
846,2
847,1
848,2
849,1
850,2
851,1
852,1
853,1
854,2
855,1
856,2
857,2
858,2
859,2
860,2
861,2
862,2
863,1
864,1
865,1
866,1
867,2
868,2
869,1
870,1
871,2
872,2
873,1
874,1
875,1
876,1
877,1
878,2
879,2
880,1
881,1
882,1
883,2
884,1
885,2
886,2
887,1
888,1
889,1
890,2
891,1
892,1
893,1
894,1
895,2
896,2
897,2
898,1
899,1
900,1
901,1
902,1
903,1
904,1
905,2
906,1
907,1
908,1
909,2
910,2
911,1
912,1
913,2
914,1
915,2
916,1
917,1
918,1
919,2
920,1
921,2
922,1
923,1
924,1
925,1
926,1
927,1
928,1
929,1
930,2
931,2
932,2
933,1
934,1
935,1
936,1
937,2
938,1
939,1
940,1
941,1
942,1
943,2
944,2
945,2
946,1
947,2
948,1
949,1
950,2
951,1
952,1
953,1
954,1
955,1
956,1
957,2
958,1
959,1
960,1
961,1
962,1
963,1
